it,kld_median,kld_mean,kld0,kld1,kld2,kld3,kld4,kld5,kld6,kld7,kld8,kld9,kld10,kld11,kld12,kld13,kld14,kld15,kld16,kld17,kld18,kld19
1.000000000000000000e+00,2.291407115965706343e+00,2.381019165760526413e+00,1.822204069633090118e+00,2.752575838240748141e+00,2.000848484983284159e+00,1.591180553690079158e+00,2.476770855098280766e+00,3.157107820308573842e+00,2.231241185459785559e+00,1.911810737110422487e+00,2.007974934993924432e+00,1.875424500049956755e+00,2.351573046471627126e+00,1.763791851311317771e+00,2.474244376819330071e+00,3.963546876112752582e+00,2.069450682445570067e+00,2.953224087797616804e+00,2.371906393790672585e+00,3.223552761314051551e+00,2.626165671703235560e+00,1.995788587876206721e+00
1.000000000000000000e+00,2.291407115965706343e+00,2.381019165760526413e+00,1.822204069633090118e+00,2.752575838240748141e+00,2.000848484983284159e+00,1.591180553690079158e+00,2.476770855098280766e+00,3.157107820308573842e+00,2.231241185459785559e+00,1.911810737110422487e+00,2.007974934993924432e+00,1.875424500049956755e+00,2.351573046471627126e+00,1.763791851311317771e+00,2.474244376819330071e+00,3.963546876112752582e+00,2.069450682445570067e+00,2.953224087797616804e+00,2.371906393790672585e+00,3.223552761314051551e+00,2.626165671703235560e+00,1.995788587876206721e+00
1.000000000000000000e+00,2.291407115965706343e+00,2.381019165760526413e+00,1.822204069633090118e+00,2.752575838240748141e+00,2.000848484983284159e+00,1.591180553690079158e+00,2.476770855098280766e+00,3.157107820308573842e+00,2.231241185459785559e+00,1.911810737110422487e+00,2.007974934993924432e+00,1.875424500049956755e+00,2.351573046471627126e+00,1.763791851311317771e+00,2.474244376819330071e+00,3.963546876112752582e+00,2.069450682445570067e+00,2.953224087797616804e+00,2.371906393790672585e+00,3.223552761314051551e+00,2.626165671703235560e+00,1.995788587876206721e+00
1.000000000000000000e+00,2.291407115965706343e+00,2.381019165760526413e+00,1.822204069633090118e+00,2.752575838240748141e+00,2.000848484983284159e+00,1.591180553690079158e+00,2.476770855098280766e+00,3.157107820308573842e+00,2.231241185459785559e+00,1.911810737110422487e+00,2.007974934993924432e+00,1.875424500049956755e+00,2.351573046471627126e+00,1.763791851311317771e+00,2.474244376819330071e+00,3.963546876112752582e+00,2.069450682445570067e+00,2.953224087797616804e+00,2.371906393790672585e+00,3.223552761314051551e+00,2.626165671703235560e+00,1.995788587876206721e+00
1.000000000000000000e+00,2.291407115965706343e+00,2.381019165760526413e+00,1.822204069633090118e+00,2.752575838240748141e+00,2.000848484983284159e+00,1.591180553690079158e+00,2.476770855098280766e+00,3.157107820308573842e+00,2.231241185459785559e+00,1.911810737110422487e+00,2.007974934993924432e+00,1.875424500049956755e+00,2.351573046471627126e+00,1.763791851311317771e+00,2.474244376819330071e+00,3.963546876112752582e+00,2.069450682445570067e+00,2.953224087797616804e+00,2.371906393790672585e+00,3.223552761314051551e+00,2.626165671703235560e+00,1.995788587876206721e+00
1.000000000000000000e+00,2.291407115965706343e+00,2.381019165760526413e+00,1.822204069633090118e+00,2.752575838240748141e+00,2.000848484983284159e+00,1.591180553690079158e+00,2.476770855098280766e+00,3.157107820308573842e+00,2.231241185459785559e+00,1.911810737110422487e+00,2.007974934993924432e+00,1.875424500049956755e+00,2.351573046471627126e+00,1.763791851311317771e+00,2.474244376819330071e+00,3.963546876112752582e+00,2.069450682445570067e+00,2.953224087797616804e+00,2.371906393790672585e+00,3.223552761314051551e+00,2.626165671703235560e+00,1.995788587876206721e+00
1.000000000000000000e+00,2.291407115965706343e+00,2.381019165760526413e+00,1.822204069633090118e+00,2.752575838240748141e+00,2.000848484983284159e+00,1.591180553690079158e+00,2.476770855098280766e+00,3.157107820308573842e+00,2.231241185459785559e+00,1.911810737110422487e+00,2.007974934993924432e+00,1.875424500049956755e+00,2.351573046471627126e+00,1.763791851311317771e+00,2.474244376819330071e+00,3.963546876112752582e+00,2.069450682445570067e+00,2.953224087797616804e+00,2.371906393790672585e+00,3.223552761314051551e+00,2.626165671703235560e+00,1.995788587876206721e+00
1.000000000000000000e+00,2.291407115965706343e+00,2.381019165760526413e+00,1.822204069633090118e+00,2.752575838240748141e+00,2.000848484983284159e+00,1.591180553690079158e+00,2.476770855098280766e+00,3.157107820308573842e+00,2.231241185459785559e+00,1.911810737110422487e+00,2.007974934993924432e+00,1.875424500049956755e+00,2.351573046471627126e+00,1.763791851311317771e+00,2.474244376819330071e+00,3.963546876112752582e+00,2.069450682445570067e+00,2.953224087797616804e+00,2.371906393790672585e+00,3.223552761314051551e+00,2.626165671703235560e+00,1.995788587876206721e+00
1.000000000000000000e+00,2.291407115965706343e+00,2.381019165760526413e+00,1.822204069633090118e+00,2.752575838240748141e+00,2.000848484983284159e+00,1.591180553690079158e+00,2.476770855098280766e+00,3.157107820308573842e+00,2.231241185459785559e+00,1.911810737110422487e+00,2.007974934993924432e+00,1.875424500049956755e+00,2.351573046471627126e+00,1.763791851311317771e+00,2.474244376819330071e+00,3.963546876112752582e+00,2.069450682445570067e+00,2.953224087797616804e+00,2.371906393790672585e+00,3.223552761314051551e+00,2.626165671703235560e+00,1.995788587876206721e+00
1.000000000000000000e+00,2.291407115965706343e+00,2.381019165760526413e+00,1.822204069633090118e+00,2.752575838240748141e+00,2.000848484983284159e+00,1.591180553690079158e+00,2.476770855098280766e+00,3.157107820308573842e+00,2.231241185459785559e+00,1.911810737110422487e+00,2.007974934993924432e+00,1.875424500049956755e+00,2.351573046471627126e+00,1.763791851311317771e+00,2.474244376819330071e+00,3.963546876112752582e+00,2.069450682445570067e+00,2.953224087797616804e+00,2.371906393790672585e+00,3.223552761314051551e+00,2.626165671703235560e+00,1.995788587876206721e+00
1.000000000000000000e+00,2.291407115965706343e+00,2.381019165760526413e+00,1.822204069633090118e+00,2.752575838240748141e+00,2.000848484983284159e+00,1.591180553690079158e+00,2.476770855098280766e+00,3.157107820308573842e+00,2.231241185459785559e+00,1.911810737110422487e+00,2.007974934993924432e+00,1.875424500049956755e+00,2.351573046471627126e+00,1.763791851311317771e+00,2.474244376819330071e+00,3.963546876112752582e+00,2.069450682445570067e+00,2.953224087797616804e+00,2.371906393790672585e+00,3.223552761314051551e+00,2.626165671703235560e+00,1.995788587876206721e+00
1.000000000000000000e+00,2.291407115965706343e+00,2.381019165760526413e+00,1.822204069633090118e+00,2.752575838240748141e+00,2.000848484983284159e+00,1.591180553690079158e+00,2.476770855098280766e+00,3.157107820308573842e+00,2.231241185459785559e+00,1.911810737110422487e+00,2.007974934993924432e+00,1.875424500049956755e+00,2.351573046471627126e+00,1.763791851311317771e+00,2.474244376819330071e+00,3.963546876112752582e+00,2.069450682445570067e+00,2.953224087797616804e+00,2.371906393790672585e+00,3.223552761314051551e+00,2.626165671703235560e+00,1.995788587876206721e+00
1.000000000000000000e+00,2.291407115965706343e+00,2.381019165760526413e+00,1.822204069633090118e+00,2.752575838240748141e+00,2.000848484983284159e+00,1.591180553690079158e+00,2.476770855098280766e+00,3.157107820308573842e+00,2.231241185459785559e+00,1.911810737110422487e+00,2.007974934993924432e+00,1.875424500049956755e+00,2.351573046471627126e+00,1.763791851311317771e+00,2.474244376819330071e+00,3.963546876112752582e+00,2.069450682445570067e+00,2.953224087797616804e+00,2.371906393790672585e+00,3.223552761314051551e+00,2.626165671703235560e+00,1.995788587876206721e+00
