it,kld_median,kld_mean,kld0,kld1,kld2,kld3,kld4,kld5,kld6,kld7,kld8,kld9,kld10,kld11,kld12,kld13,kld14,kld15,kld16,kld17,kld18,kld19,kld20
1.000000000000000000e+00,2.087110351253692819e+00,2.187469211362894406e+00,1.440113618850097144e+00,1.886396093013463560e+00,2.842813150930790123e+00,1.842004693443587859e+00,1.898878896233180180e+00,3.424656040232578302e+00,1.717342393531444023e+00,2.257484419889429716e+00,2.406574200358049698e+00,3.477601187816702133e+00,1.841447114383713668e+00,1.578091965291196663e+00,1.967480854746048724e+00,1.440281954998267278e+00,2.182065955027155280e+00,2.087110351253692819e+00,3.195051704067514819e+00,2.404597134053680030e+00,2.221691752872732906e+00,2.262919648295173225e+00,1.562250309332282150e+00
1.000000000000000000e+00,2.087110351253692819e+00,2.187469211362894406e+00,1.440113618850097144e+00,1.886396093013463560e+00,2.842813150930790123e+00,1.842004693443587859e+00,1.898878896233180180e+00,3.424656040232578302e+00,1.717342393531444023e+00,2.257484419889429716e+00,2.406574200358049698e+00,3.477601187816702133e+00,1.841447114383713668e+00,1.578091965291196663e+00,1.967480854746048724e+00,1.440281954998267278e+00,2.182065955027155280e+00,2.087110351253692819e+00,3.195051704067514819e+00,2.404597134053680030e+00,2.221691752872732906e+00,2.262919648295173225e+00,1.562250309332282150e+00
1.000000000000000000e+00,2.087110351253692819e+00,2.187469211362894406e+00,1.440113618850097144e+00,1.886396093013463560e+00,2.842813150930790123e+00,1.842004693443587859e+00,1.898878896233180180e+00,3.424656040232578302e+00,1.717342393531444023e+00,2.257484419889429716e+00,2.406574200358049698e+00,3.477601187816702133e+00,1.841447114383713668e+00,1.578091965291196663e+00,1.967480854746048724e+00,1.440281954998267278e+00,2.182065955027155280e+00,2.087110351253692819e+00,3.195051704067514819e+00,2.404597134053680030e+00,2.221691752872732906e+00,2.262919648295173225e+00,1.562250309332282150e+00
1.000000000000000000e+00,2.087110351253692819e+00,2.187469211362894406e+00,1.440113618850097144e+00,1.886396093013463560e+00,2.842813150930790123e+00,1.842004693443587859e+00,1.898878896233180180e+00,3.424656040232578302e+00,1.717342393531444023e+00,2.257484419889429716e+00,2.406574200358049698e+00,3.477601187816702133e+00,1.841447114383713668e+00,1.578091965291196663e+00,1.967480854746048724e+00,1.440281954998267278e+00,2.182065955027155280e+00,2.087110351253692819e+00,3.195051704067514819e+00,2.404597134053680030e+00,2.221691752872732906e+00,2.262919648295173225e+00,1.562250309332282150e+00
1.000000000000000000e+00,2.087110351253692819e+00,2.187469211362894406e+00,1.440113618850097144e+00,1.886396093013463560e+00,2.842813150930790123e+00,1.842004693443587859e+00,1.898878896233180180e+00,3.424656040232578302e+00,1.717342393531444023e+00,2.257484419889429716e+00,2.406574200358049698e+00,3.477601187816702133e+00,1.841447114383713668e+00,1.578091965291196663e+00,1.967480854746048724e+00,1.440281954998267278e+00,2.182065955027155280e+00,2.087110351253692819e+00,3.195051704067514819e+00,2.404597134053680030e+00,2.221691752872732906e+00,2.262919648295173225e+00,1.562250309332282150e+00
1.000000000000000000e+00,2.087110351253692819e+00,2.187469211362894406e+00,1.440113618850097144e+00,1.886396093013463560e+00,2.842813150930790123e+00,1.842004693443587859e+00,1.898878896233180180e+00,3.424656040232578302e+00,1.717342393531444023e+00,2.257484419889429716e+00,2.406574200358049698e+00,3.477601187816702133e+00,1.841447114383713668e+00,1.578091965291196663e+00,1.967480854746048724e+00,1.440281954998267278e+00,2.182065955027155280e+00,2.087110351253692819e+00,3.195051704067514819e+00,2.404597134053680030e+00,2.221691752872732906e+00,2.262919648295173225e+00,1.562250309332282150e+00
1.000000000000000000e+00,2.087110351253692819e+00,2.187469211362894406e+00,1.440113618850097144e+00,1.886396093013463560e+00,2.842813150930790123e+00,1.842004693443587859e+00,1.898878896233180180e+00,3.424656040232578302e+00,1.717342393531444023e+00,2.257484419889429716e+00,2.406574200358049698e+00,3.477601187816702133e+00,1.841447114383713668e+00,1.578091965291196663e+00,1.967480854746048724e+00,1.440281954998267278e+00,2.182065955027155280e+00,2.087110351253692819e+00,3.195051704067514819e+00,2.404597134053680030e+00,2.221691752872732906e+00,2.262919648295173225e+00,1.562250309332282150e+00
1.000000000000000000e+00,2.087110351253692819e+00,2.187469211362894406e+00,1.440113618850097144e+00,1.886396093013463560e+00,2.842813150930790123e+00,1.842004693443587859e+00,1.898878896233180180e+00,3.424656040232578302e+00,1.717342393531444023e+00,2.257484419889429716e+00,2.406574200358049698e+00,3.477601187816702133e+00,1.841447114383713668e+00,1.578091965291196663e+00,1.967480854746048724e+00,1.440281954998267278e+00,2.182065955027155280e+00,2.087110351253692819e+00,3.195051704067514819e+00,2.404597134053680030e+00,2.221691752872732906e+00,2.262919648295173225e+00,1.562250309332282150e+00
1.000000000000000000e+00,2.087110351253692819e+00,2.187469211362894406e+00,1.440113618850097144e+00,1.886396093013463560e+00,2.842813150930790123e+00,1.842004693443587859e+00,1.898878896233180180e+00,3.424656040232578302e+00,1.717342393531444023e+00,2.257484419889429716e+00,2.406574200358049698e+00,3.477601187816702133e+00,1.841447114383713668e+00,1.578091965291196663e+00,1.967480854746048724e+00,1.440281954998267278e+00,2.182065955027155280e+00,2.087110351253692819e+00,3.195051704067514819e+00,2.404597134053680030e+00,2.221691752872732906e+00,2.262919648295173225e+00,1.562250309332282150e+00
1.000000000000000000e+00,2.087110351253692819e+00,2.187469211362894406e+00,1.440113618850097144e+00,1.886396093013463560e+00,2.842813150930790123e+00,1.842004693443587859e+00,1.898878896233180180e+00,3.424656040232578302e+00,1.717342393531444023e+00,2.257484419889429716e+00,2.406574200358049698e+00,3.477601187816702133e+00,1.841447114383713668e+00,1.578091965291196663e+00,1.967480854746048724e+00,1.440281954998267278e+00,2.182065955027155280e+00,2.087110351253692819e+00,3.195051704067514819e+00,2.404597134053680030e+00,2.221691752872732906e+00,2.262919648295173225e+00,1.562250309332282150e+00
