it,kld_median,kld_mean,kld0,kld1,kld2,kld3,kld4,kld5,kld6,kld7,kld8,kld9,kld10,kld11,kld12,kld13,kld14,kld15,kld16,kld17,kld18
1.000000000000000000e+00,1.974266302698325370e+00,1.861735184336748894e+00,1.252796887420941196e+00,2.019944399314725914e+00,1.989936161554742844e+00,1.282410286863757243e+00,1.204763573082461736e+00,8.767359605254030352e-01,3.291465935332095860e+00,1.843420694931636961e+00,8.006478971898860486e-01,2.318872740690489209e+00,1.895965152316276270e-01,3.550442942622249909e+00,3.882821311864369740e+00,2.432432889415220068e+00,2.109099125259505936e+00,2.294520977308677434e+00,1.441489725339198946e-01,1.914644928558193682e+00,1.974266302698325370e+00
1.000000000000000000e+00,1.974266302698325370e+00,1.861735184336748894e+00,1.252796887420941196e+00,2.019944399314725914e+00,1.989936161554742844e+00,1.282410286863757243e+00,1.204763573082461736e+00,8.767359605254030352e-01,3.291465935332095860e+00,1.843420694931636961e+00,8.006478971898860486e-01,2.318872740690489209e+00,1.895965152316276270e-01,3.550442942622249909e+00,3.882821311864369740e+00,2.432432889415220068e+00,2.109099125259505936e+00,2.294520977308677434e+00,1.441489725339198946e-01,1.914644928558193682e+00,1.974266302698325370e+00
1.000000000000000000e+00,1.974266302698325370e+00,1.861735184336748894e+00,1.252796887420941196e+00,2.019944399314725914e+00,1.989936161554742844e+00,1.282410286863757243e+00,1.204763573082461736e+00,8.767359605254030352e-01,3.291465935332095860e+00,1.843420694931636961e+00,8.006478971898860486e-01,2.318872740690489209e+00,1.895965152316276270e-01,3.550442942622249909e+00,3.882821311864369740e+00,2.432432889415220068e+00,2.109099125259505936e+00,2.294520977308677434e+00,1.441489725339198946e-01,1.914644928558193682e+00,1.974266302698325370e+00
1.000000000000000000e+00,1.974266302698325370e+00,1.861735184336748894e+00,1.252796887420941196e+00,2.019944399314725914e+00,1.989936161554742844e+00,1.282410286863757243e+00,1.204763573082461736e+00,8.767359605254030352e-01,3.291465935332095860e+00,1.843420694931636961e+00,8.006478971898860486e-01,2.318872740690489209e+00,1.895965152316276270e-01,3.550442942622249909e+00,3.882821311864369740e+00,2.432432889415220068e+00,2.109099125259505936e+00,2.294520977308677434e+00,1.441489725339198946e-01,1.914644928558193682e+00,1.974266302698325370e+00
1.000000000000000000e+00,1.974266302698325370e+00,1.861735184336748894e+00,1.252796887420941196e+00,2.019944399314725914e+00,1.989936161554742844e+00,1.282410286863757243e+00,1.204763573082461736e+00,8.767359605254030352e-01,3.291465935332095860e+00,1.843420694931636961e+00,8.006478971898860486e-01,2.318872740690489209e+00,1.895965152316276270e-01,3.550442942622249909e+00,3.882821311864369740e+00,2.432432889415220068e+00,2.109099125259505936e+00,2.294520977308677434e+00,1.441489725339198946e-01,1.914644928558193682e+00,1.974266302698325370e+00
1.000000000000000000e+00,1.974266302698325370e+00,1.861735184336748894e+00,1.252796887420941196e+00,2.019944399314725914e+00,1.989936161554742844e+00,1.282410286863757243e+00,1.204763573082461736e+00,8.767359605254030352e-01,3.291465935332095860e+00,1.843420694931636961e+00,8.006478971898860486e-01,2.318872740690489209e+00,1.895965152316276270e-01,3.550442942622249909e+00,3.882821311864369740e+00,2.432432889415220068e+00,2.109099125259505936e+00,2.294520977308677434e+00,1.441489725339198946e-01,1.914644928558193682e+00,1.974266302698325370e+00
1.000000000000000000e+00,1.974266302698325370e+00,1.861735184336748894e+00,1.252796887420941196e+00,2.019944399314725914e+00,1.989936161554742844e+00,1.282410286863757243e+00,1.204763573082461736e+00,8.767359605254030352e-01,3.291465935332095860e+00,1.843420694931636961e+00,8.006478971898860486e-01,2.318872740690489209e+00,1.895965152316276270e-01,3.550442942622249909e+00,3.882821311864369740e+00,2.432432889415220068e+00,2.109099125259505936e+00,2.294520977308677434e+00,1.441489725339198946e-01,1.914644928558193682e+00,1.974266302698325370e+00
1.000000000000000000e+00,1.974266302698325370e+00,1.861735184336748894e+00,1.252796887420941196e+00,2.019944399314725914e+00,1.989936161554742844e+00,1.282410286863757243e+00,1.204763573082461736e+00,8.767359605254030352e-01,3.291465935332095860e+00,1.843420694931636961e+00,8.006478971898860486e-01,2.318872740690489209e+00,1.895965152316276270e-01,3.550442942622249909e+00,3.882821311864369740e+00,2.432432889415220068e+00,2.109099125259505936e+00,2.294520977308677434e+00,1.441489725339198946e-01,1.914644928558193682e+00,1.974266302698325370e+00
1.000000000000000000e+00,1.974266302698325370e+00,1.861735184336748894e+00,1.252796887420941196e+00,2.019944399314725914e+00,1.989936161554742844e+00,1.282410286863757243e+00,1.204763573082461736e+00,8.767359605254030352e-01,3.291465935332095860e+00,1.843420694931636961e+00,8.006478971898860486e-01,2.318872740690489209e+00,1.895965152316276270e-01,3.550442942622249909e+00,3.882821311864369740e+00,2.432432889415220068e+00,2.109099125259505936e+00,2.294520977308677434e+00,1.441489725339198946e-01,1.914644928558193682e+00,1.974266302698325370e+00
1.000000000000000000e+00,1.974266302698325370e+00,1.861735184336748894e+00,1.252796887420941196e+00,2.019944399314725914e+00,1.989936161554742844e+00,1.282410286863757243e+00,1.204763573082461736e+00,8.767359605254030352e-01,3.291465935332095860e+00,1.843420694931636961e+00,8.006478971898860486e-01,2.318872740690489209e+00,1.895965152316276270e-01,3.550442942622249909e+00,3.882821311864369740e+00,2.432432889415220068e+00,2.109099125259505936e+00,2.294520977308677434e+00,1.441489725339198946e-01,1.914644928558193682e+00,1.974266302698325370e+00
1.000000000000000000e+00,1.974266302698325370e+00,1.861735184336748894e+00,1.252796887420941196e+00,2.019944399314725914e+00,1.989936161554742844e+00,1.282410286863757243e+00,1.204763573082461736e+00,8.767359605254030352e-01,3.291465935332095860e+00,1.843420694931636961e+00,8.006478971898860486e-01,2.318872740690489209e+00,1.895965152316276270e-01,3.550442942622249909e+00,3.882821311864369740e+00,2.432432889415220068e+00,2.109099125259505936e+00,2.294520977308677434e+00,1.441489725339198946e-01,1.914644928558193682e+00,1.974266302698325370e+00
1.000000000000000000e+00,1.974266302698325370e+00,1.861735184336748894e+00,1.252796887420941196e+00,2.019944399314725914e+00,1.989936161554742844e+00,1.282410286863757243e+00,1.204763573082461736e+00,8.767359605254030352e-01,3.291465935332095860e+00,1.843420694931636961e+00,8.006478971898860486e-01,2.318872740690489209e+00,1.895965152316276270e-01,3.550442942622249909e+00,3.882821311864369740e+00,2.432432889415220068e+00,2.109099125259505936e+00,2.294520977308677434e+00,1.441489725339198946e-01,1.914644928558193682e+00,1.974266302698325370e+00
1.000000000000000000e+00,1.974266302698325370e+00,1.861735184336748894e+00,1.252796887420941196e+00,2.019944399314725914e+00,1.989936161554742844e+00,1.282410286863757243e+00,1.204763573082461736e+00,8.767359605254030352e-01,3.291465935332095860e+00,1.843420694931636961e+00,8.006478971898860486e-01,2.318872740690489209e+00,1.895965152316276270e-01,3.550442942622249909e+00,3.882821311864369740e+00,2.432432889415220068e+00,2.109099125259505936e+00,2.294520977308677434e+00,1.441489725339198946e-01,1.914644928558193682e+00,1.974266302698325370e+00
1.000000000000000000e+00,1.974266302698325370e+00,1.861735184336748894e+00,1.252796887420941196e+00,2.019944399314725914e+00,1.989936161554742844e+00,1.282410286863757243e+00,1.204763573082461736e+00,8.767359605254030352e-01,3.291465935332095860e+00,1.843420694931636961e+00,8.006478971898860486e-01,2.318872740690489209e+00,1.895965152316276270e-01,3.550442942622249909e+00,3.882821311864369740e+00,2.432432889415220068e+00,2.109099125259505936e+00,2.294520977308677434e+00,1.441489725339198946e-01,1.914644928558193682e+00,1.974266302698325370e+00
